,code,name
183,5169,"Nagaon  Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule"
184,5170,"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal"
185,5171,"Godavari Foundation's Godavari College Of Engineering,  Jalgaon"
186,5172,"R. C. Patel Institute of Technology, Shirpur"
187,5173,"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering,  (Jain Gurukul), Neminagar,Chandwad,(Nashik)"
188,5177,"Matoshri College of Engineering and Research Centre, Eklahare, Nashik"
189,5179,"Vishwabharati Academy's College of Engineering, Ahmednagar"
190,5181,"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik"
191,5182,"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik"
192,5184,"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar"
193,5244,"MET's Institute of Technology Polytechnic, Bhujbal Knowledge City, Adgaon Nashik"
194,5303,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha,"
195,5322,"Jamia Institute Of Engineering And Management Studies, Akkalkuwa"
196,5330,"PUNE VIDYARTHI GRIHAS COLLEGE OF ENGINEERING AND SHRIKRUSHNA S. DHAMANKAR INSTITUTE OF MANAGEMENT, NASHIK"
197,5331,"Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik"
198,5365,"Vardhaman Education & Welfare Society, Ahinsa Institute of Technology, Post. Dondaicha,  Dhule"
199,5380,"Adsul's Technical Campus, Chas Dist. Ahmednagar"
200,5381,"Shri. Jaykumar Rawal Institute of Technology, Dondaicha."
201,5382,"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti"
202,5390,"K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik."
203,5396,"College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon"
204,5399,"Sanghavi College of Engineering, Varvandi, Nashik."
205,5401,"Jawahar Education Society's Institute of Technology, Management & Research, Nashik."
206,5408,"Vidya Niketan College of Engineering, Bota Sangamner"
207,5409,"Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar"
208,5411,"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon."
209,5418,"Guru Gobind Singh College of Engineering & Research Centre, Nashik."
210,5449,"Shri Vile Parle Kelavani Mandal's Institute of Technology, Dhule"
211,5497,"P.G. College of Engineering & Technology, Nandurbar"
212,6004,"Government College of Engineering & Research, Avasari Khurd"
213,6005,"Government College of Engineering, Karad"
214,6006,COEP Technological University
215,6007,"Walchand College of Engineering, Sangli"
216,6028,"Department of Technology, Shivaji University, Kolhapur"
217,6036,"Government College of Engineering, Kolhapur"
218,6122,"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune"
219,6138,"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune"
220,6139,"Progressive Education Society's Modern College of Engineering, Pune"
221,6141,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune"
222,6144,"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune"
223,6145,"JSPM'S Jaywantrao Sawant College of Engineering,Pune"
224,6146,"MIT Academy of Engineering,Alandi, Pune"
225,6149,"Siddhant College of Engineering, A/p Sudumbare, Tal.Maval, Dist-Pune"
226,6155,"G.H.Raisoni College of Engineering & Management, Wagholi, Pune"
227,6156,"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune"
228,6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune"
229,6177,"Sinhgad College of Engineering, Vadgaon (BK), Pune"
230,6178,"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune"
231,6179,"Indira College of Engineering & Management, Pune"
232,6182,"Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)"
233,6183,"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima"
234,6184,"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli"
235,6185,Sinhgad Institute of Technology
236,6187,"Sinhgad Academy of Engineering, Kondhwa (BK)  Kondhwa-Saswad Road, Pune"
237,6203,"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune"
238,6206,"Pune District Education  Association's College of Engineering, Pune"
239,6207,"Dr. D. Y. Patil Unitech Society's Dr. D. Y. Patil  Institute of Technology, Pimpri, Pune"
240,6214,"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli"
241,6217,"Shri. Balasaheb Mane Shikshan  Prasarak Mandal's, Ashokrao Mane Group of Institutions"
242,6219,"KSGBS's Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur"
243,6220,"Shri Vithal Education and Research Institute's College of Engineering, Pandharpur"
244,6222,"Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji."
245,6223,"Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Engineering & Technology, Solapur"
246,6250,"D.Y. Patil College of Engineering and Technology, Kolhapur"
247,6265,"Walchand Institute of Technology, Solapur"
248,6267,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur"
249,6268,"Tatyasaheb Kore Institute of Engineering and Technology, Warananagar"
250,6269,"Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli"
251,6270,"Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara"
252,6271,"Pune Institute of Computer Technology, Dhankavdi, Pune"
253,6272,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune"
